PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41243112","Aging-related changes in cognitive flexibility: fMRI meta-analysis","Chuikova Z, Faber A, Filatov A, Myachykov A, Shtyrov Y, Arsalidou M.","Behav Brain Funct. 2025 Nov 16;21(1):40. doi: 10.1186/s12993-025-00301-1.","Chuikova Z","Behav Brain Funct","2025","2025/11/16","PMC12621379","","10.1186/s12993-025-00301-1"
"25445184","Understanding bimanual coordination across small time scales from an electrophysiological perspective","Rueda-Delgado LM, Solesio-Jofre E, Serrien DJ, Mantini D, Daffertshofer A, Swinnen SP.","Neurosci Biobehav Rev. 2014 Nov;47:614-35. doi: 10.1016/j.neubiorev.2014.10.003.","Rueda-Delgado LM","Neurosci Biobehav Rev","2014","2014/12/03","","","10.1016/j.neubiorev.2014.10.003"
"24791708","Dissociating strategy-dependent and independent components in task preparation","De Baene W, Brass M.","Neuropsychologia. 2014 Sep;62:331-40. doi: 10.1016/j.neuropsychologia.2014.04.015. Epub 2014 Apr 30.","De Baene W","Neuropsychologia","2014","2014/05/06","","","10.1016/j.neuropsychologia.2014.04.015"
"25123156","Impaired fear recognition and attentional set-shifting is associated with brain structural changes in alcoholic patients","Trick L, Kempton MJ, Williams SC, Duka T.","Addict Biol. 2014 Nov;19(6):1041-54. doi: 10.1111/adb.12175. Epub 2014 Aug 6.","Trick L","Addict Biol","2014","2014/08/16","PMC4282104","","10.1111/adb.12175"
"38036262","Left superior parietal lobe mediates the link between spontaneous mind-wandering tendency and task-switching performance","Wong YS, Yu J.","Biol Psychol. 2024 Jan;185:108726. doi: 10.1016/j.biopsycho.2023.108726. Epub 2023 Nov 29.","Wong YS","Biol Psychol","2024","2023/11/30","","","10.1016/j.biopsycho.2023.108726"
"17133383","Real-time fMRI using brain-state classification","LaConte SM, Peltier SJ, Hu XP.","Hum Brain Mapp. 2007 Oct;28(10):1033-44. doi: 10.1002/hbm.20326.","LaConte SM","Hum Brain Mapp","2007","2006/11/30","PMC6871430","","10.1002/hbm.20326"
"32013688","Neural Mechanisms of Strategic Adaptation in Attentional Flexibility","Sali AW, Jiang J, Egner T.","J Cogn Neurosci. 2020 May;32(5):989-1008. doi: 10.1162/jocn_a_01541. Epub 2020 Feb 4.","Sali AW","J Cogn Neurosci","2020","2020/02/05","PMC7394318","NIHMS1600796","10.1162/jocn_a_01541"
"26520774","Neural signals encoding shifts in beliefs","Schwartenbeck P, FitzGerald THB, Dolan R.","Neuroimage. 2016 Jan 15;125:578-586. doi: 10.1016/j.neuroimage.2015.10.067. Epub 2015 Oct 28.","Schwartenbeck P","Neuroimage","2016","2015/11/02","PMC4692512","","10.1016/j.neuroimage.2015.10.067"
"29168420","Vulnerabilities in sequencing and task switching in healthy youth offspring of parents with mood disorders","Singh MK, Leslie SM, Bhattacharjee K, Gross M, Weisman EF, Soudi LM, Phillips OR, Onopa A.","J Clin Exp Neuropsychol. 2018 Aug;40(6):606-618. doi: 10.1080/13803395.2017.1401597. Epub 2017 Nov 23.","Singh MK","J Clin Exp Neuropsychol","2018","2017/11/24","PMC6167013","NIHMS1505286","10.1080/13803395.2017.1401597"
"37540164","Brain functional characterization of response-code conflict in dual-tasking and its modulation by age","Paas Oliveros LK, Cieslik EC, Pieczykolan A, Pläschke RN, Eickhoff SB, Langner R.","Cereb Cortex. 2023 Sep 9;33(18):10155-10180. doi: 10.1093/cercor/bhad273.","Paas Oliveros LK","Cereb Cortex","2023","2023/08/04","PMC10502578","","10.1093/cercor/bhad273"
"12482070","The roles of timing and task order during task switching","Dreher JC, Koechlin E, Ali SO, Grafman J.","Neuroimage. 2002 Sep;17(1):95-109. doi: 10.1006/nimg.2002.1169.","Dreher JC","Neuroimage","2002","2002/12/17","","","10.1006/nimg.2002.1169"
"26000735","Neural Correlates of Attentional Flexibility during Approach and Avoidance Motivation","Calcott RD, Berkman ET.","PLoS One. 2015 May 22;10(5):e0127203. doi: 10.1371/journal.pone.0127203. eCollection 2015.","Calcott RD","PLoS One","2015","2015/05/23","PMC4441475","","10.1371/journal.pone.0127203"
"27474521","Striatal activation as a neural link between cognitive and perceptual flexibility","Sekutowicz M, Schmack K, Steimke R, Paschke L, Sterzer P, Walter H, Stelzel C.","Neuroimage. 2016 Nov 1;141:393-398. doi: 10.1016/j.neuroimage.2016.07.046. Epub 2016 Jul 26.","Sekutowicz M","Neuroimage","2016","2016/07/31","","","10.1016/j.neuroimage.2016.07.046"
"10906317","Maintaining and shifting attention within left or right hemifield","Vandenberghe R, Duncan J, Arnell KM, Bishop SJ, Herrod NJ, Owen AM, Minhas PS, Dupont P, Pickard JD, Orban GA.","Cereb Cortex. 2000 Jul;10(7):706-13. doi: 10.1093/cercor/10.7.706.","Vandenberghe R","Cereb Cortex","2000","2000/07/25","","","10.1093/cercor/10.7.706"
"31037397","Common and distinct neural correlates of dual-tasking and task-switching: a meta-analytic review and a neuro-cognitive processing model of human multitasking","Worringer B, Langner R, Koch I, Eickhoff SB, Eickhoff CR, Binkofski FC.","Brain Struct Funct. 2019 Jun;224(5):1845-1869. doi: 10.1007/s00429-019-01870-4. Epub 2019 Apr 29.","Worringer B","Brain Struct Funct","2019","2019/05/01","PMC7254756","NIHMS1588689","10.1007/s00429-019-01870-4"
"29239622","Coactivation of cognitive control networks during task switching","Yin S, Deák G, Chen A.","Neuropsychology. 2018 Jan;32(1):31-39. doi: 10.1037/neu0000406. Epub 2017 Dec 14.","Yin S","Neuropsychology","2018","2017/12/15","","","10.1037/neu0000406"
"25552571","Emotional task management: neural correlates of switching between affective and non-affective task-sets","Reeck C, Egner T.","Soc Cogn Affect Neurosci. 2015 Aug;10(8):1045-53. doi: 10.1093/scan/nsu153. Epub 2014 Dec 30.","Reeck C","Soc Cogn Affect Neurosci","2015","2015/01/02","PMC4526474","","10.1093/scan/nsu153"
"34184803","Dissociable theta networks underlie the switch and mixing costs during task switching","McKewen M, Cooper PS, Skippen P, Wong ASW, Michie PT, Karayanidis F.","Hum Brain Mapp. 2021 Oct 1;42(14):4643-4657. doi: 10.1002/hbm.25573. Epub 2021 Jun 29.","McKewen M","Hum Brain Mapp","2021","2021/06/29","PMC8410519","","10.1002/hbm.25573"
"10666562","Prefrontal cortex activation in task switching: an event-related fMRI study","Dove A, Pollmann S, Schubert T, Wiggins CJ, von Cramon DY.","Brain Res Cogn Brain Res. 2000 Jan;9(1):103-9. doi: 10.1016/s0926-6410(99)00029-4.","Dove A","Brain Res Cogn Brain Res","2000","2000/02/10","","","10.1016/s0926-6410(99)00029-4"
"28698107","Dynamic graph metrics: Tutorial, toolbox, and tale","Sizemore AE, Bassett DS.","Neuroimage. 2018 Oct 15;180(Pt B):417-427. doi: 10.1016/j.neuroimage.2017.06.081. Epub 2017 Jul 8.","Sizemore AE","Neuroimage","2018","2017/07/13","PMC5758445","NIHMS893258","10.1016/j.neuroimage.2017.06.081"
